# Rime user dictionary
#@/db_name	terra_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	9469
#@/user_id	cd7a444b-bd10-4f36-b2f9-43f3afd34724
diao4 luo4 	掉落	c=2 d=1.62737 t=9469
diao4 si3 gui3 	吊死鬼	c=1 d=0.50409 t=9469
diao4 yu2 	釣魚	c=1 d=0.0536647 t=9469
ding3 duo1 	頂多	c=2 d=0.860708 t=9469
ding4 duo2 	定奪	c=1 d=0.763379 t=9469
ding4 yi4 	定義	c=3 d=1.08378 t=9469
diu1 	丟	c=11 d=3.13644 t=9469
diu1 dao4 	丟到	c=3 d=1.00005 t=9469
diu1 diao4 	丟掉	c=1 d=0.571209 t=9469
diu1 gei3 	丟給	c=1 d=0.145148 t=9469
diu1 le5 	丟了	c=1 d=0.932394 t=9469
diu1 ren2 xian4 yan3 	丟人現眼	c=1 d=0.99005 t=9469
diu1 zai4 	丟在	c=1 d=0.0232837 t=9469
dong1 dong1 	東東	c=1 d=0.895834 t=9469
dong1 xi1 	東西	c=24 d=3.81078 t=9469
dong4 ci2 	動詞	c=1 d=0.927743 t=9469
dong4 man4 	動漫	c=1 d=0.66034 t=9469
dong4 wu4 	動物	c=1 d=0.00909528 t=9469
dong4 xue4 	洞穴	c=1 d=0.108067 t=9469
dou1 	都	c=41 d=4.67239 t=9469
dou1 jiao4 	都叫	c=1 d=0.634448 t=9469
dou1 ke3 yi3 	都可以	c=2 d=0.110915 t=9469
dou1 mei2 	都沒	c=2 d=0.822624 t=9469
dou1 shi4 	都是	c=9 d=2.11738 t=9469
dou1 yao1 	都要	c=2 d=0.678622 t=9469
dou1 yao1 zuo4 	都要做	c=1 d=0.767206 t=9469
dou1 you3 	都有	c=1 d=0.273898 t=9469
dou1 zai4 	都在	c=1 d=0.0216013 t=9469
dou4 	鬥	c=1 d=0.562705 t=9469
dou4 fen3 	豆粉	c=1 d=0.965605 t=9469
dou4 zi5 	豆子	c=1 d=0.955997 t=9469
du2 	毒	c=0 d=0.0106459 t=9469
du2 	瀆	c=1 d=0.447088 t=9469
du2 	讀	c=1 d=0.985112 t=9469
